CDKT | cdkt_phai_tra_dai_han_khac | N/A | Phải trả dài hạn khác
CDKT | cdkt_vay_dai_han | N/A | Vay dài hạn
CDKT | cdkt_trai_phieu_chuyen_doi | N/A | Trái phiếu chuyển đổi
CDKT | cdkt_co_phieu_uu_dai | N/A | Cổ phiếu ưu đãi
CDKT | cdkt_thue_thu_nhap_hoan_lai_1 | N/A | Thuế thu nhập hoãn lại
CDKT | cdkt_du_phong_tro_cap_thoi_viec | N/A | Dự phòng trợ cấp thôi việc
CDKT | cdkt_du_phong_cac_khoan_no_dai_han | N/A | Dự phòng các khoản nợ dài hạn
CDKT | cdkt_quy_phat_trien_khoa_hoc_cong_nghe | N/A | Quỹ phát triển khoa học công nghệ
CDKT | cdkt_von_chu_so_huu | N/A | Vốn chủ sở hữu
CDKT | cdkt_von_va_cac_quy | N/A | Vốn và các quỹ
CDKT | cdkt_von_gop | N/A | Vốn góp
CDKT | cdkt_co_phieu_pho_thong | N/A | Cổ phiếu phổ thông
CDKT | cdkt_co_phieu_uu_dai_1 | N/A | Cổ phiếu ưu đãi
CDKT | cdkt_thang_du_von_co_phan | N/A | Thặng dư vốn cổ phần
CDKT | cdkt_quyen_chon_chuyen_doi_trai_phieu | N/A | Quyền chọn chuyển đổi trái phiếu
CDKT | cdkt_von_khac | N/A | Vốn khác
CDKT | cdkt_co_phieu_quy | N/A | Cổ phiếu quỹ
CDKT | cdkt_chenh_lech_danh_gia_lai_tai_san | N/A | Chênh lệch đánh giá lại tài sản
CDKT | cdkt_chenh_lech_ty_gia | N/A | Chênh lệch tỷ giá
CDKT | cdkt_quy_dau_tu_va_phat_trien | N/A | Quỹ đầu tư và phát triển
CDKT | cdkt_quy_ho_tro_sap_xep_doanh_nghiep | N/A | Quỹ hỗ trợ sắp xếp doanh nghiệp
CDKT | cdkt_quy_du_phong_tai_chinh | N/A | Quỹ dự phòng tài chính
CDKT | cdkt_quy_khac | N/A | Quỹ khác
CDKT | cdkt_lai_chua_phan_phoi | N/A | Lãi chưa phân phối
